player,team
Matt Chapman,San Francisco Giants
Mike Yastrzemski,San Francisco Giants
Patrick Bailey,San Francisco Giants
Randy Rodríguez,San Francisco Giants
Robbie Ray,San Francisco Giants
Ryan Walker,San Francisco Giants
Sam Huff,San Francisco Giants
Spencer Bivens,San Francisco Giants
Tyler Rogers,San Francisco Giants
Willy Adames,San Francisco Giants
Wilmer Flores,San Francisco Giants
Alec Burleson,St. Louis Cardinals
Andre Pallante,St. Louis Cardinals
Brendan Donovan,St. Louis Cardinals
Chris Roycroft,St. Louis Cardinals
Erick Fedde,St. Louis Cardinals
JoJo Romero,St. Louis Cardinals
John King,St. Louis Cardinals
Jordan Walker,St. Louis Cardinals
Jose Barrero,St. Louis Cardinals
Kyle Leahy,St. Louis Cardinals
Lars Nootbaar,St. Louis Cardinals
Luken Baker,St. Louis Cardinals
Masyn Winn,St. Louis Cardinals
Matthew Liberatore,St. Louis Cardinals
Michael McGreevy,St. Louis Cardinals
Miles Mikolas,St. Louis Cardinals
Nolan Arenado,St. Louis Cardinals
Nolan Gorman,St. Louis Cardinals
Pedro Pagés,St. Louis Cardinals
Phil Maton,St. Louis Cardinals
Ryan Helsley,St. Louis Cardinals
Sonny Gray,St. Louis Cardinals
Steven Matz,St. Louis Cardinals
Victor Scott II,St. Louis Cardinals
Willson Contreras,St. Louis Cardinals
Yohel Pozo,St. Louis Cardinals
Ben Rortvedt,Tampa Bay Rays
Brandon Lowe,Tampa Bay Rays
Chandler Simpson,Tampa Bay Rays
Christopher Morel,Tampa Bay Rays
Curtis Mead,Tampa Bay Rays
Danny Jansen,Tampa Bay Rays
Drew Rasmussen,Tampa Bay Rays
Edwin Uceta,Tampa Bay Rays
Eric Orze,Tampa Bay Rays
Garrett Cleavinger,Tampa Bay Rays
Hunter Bigge,Tampa Bay Rays
Jonathan Aranda,Tampa Bay Rays
José Caballero,Tampa Bay Rays
Junior Caminero,Tampa Bay Rays
Kameron Misner,Tampa Bay Rays
Manuel Rodríguez,Tampa Bay Rays
Mason Englert,Tampa Bay Rays
Mason Montgomery,Tampa Bay Rays
Pete Fairbanks,Tampa Bay Rays
Ryan Pepiot,Tampa Bay Rays
Shane Baz,Tampa Bay Rays
Taj Bradley,Tampa Bay Rays
Taylor Walls,Tampa Bay Rays
Travis Jankowski,Tampa Bay Rays
Yandy Díaz,Tampa Bay Rays
Zack Littell,Tampa Bay Rays
Jonny Deluca,Tampa Bay Rays
Adolis García,Texas Rangers
Blaine Crim,Texas Rangers
Caleb Boushley,Texas Rangers
Chris Martin,Texas Rangers
Corey Seager,Texas Rangers
Dustin Harris,Texas Rangers
Hoby Milner,Texas Rangers
Jack Leiter,Texas Rangers
Jacob Latz,Texas Rangers
Jacob Webb,Texas Rangers
Jacob deGrom,Texas Rangers
Joc Pederson,Texas Rangers
Jonah Heim,Texas Rangers
Josh Jung,Texas Rangers
Josh Smith,Texas Rangers
Kevin Pillar,Texas Rangers
Leody Taveras,Seattle Mariners
Luke Jackson,Texas Rangers
Marcus Semien,Texas Rangers
Nathan Eovaldi,Texas Rangers
Patrick Corbin,Texas Rangers
Robert Garcia,Texas Rangers
Shawn Armstrong,Texas Rangers
Tucker Barnhart,Texas Rangers
Tyler Mahle,Texas Rangers
Wyatt Langford,Texas Rangers
Addison Barger,Toronto Blue Jays
Alan Roden,Toronto Blue Jays
Alejandro Kirk,Toronto Blue Jays
Andrés Giménez,Toronto Blue Jays
Anthony Santander,Toronto Blue Jays
Bo Bichette,Toronto Blue Jays
Bowden Francis,Toronto Blue Jays
Brendon Little,Toronto Blue Jays
Chad Green,Toronto Blue Jays
Chris Bassitt,Toronto Blue Jays
Daulton Varsho,Toronto Blue Jays
Dillon Tate,Toronto Blue Jays
Eric Lauer,Toronto Blue Jays
Ernie Clement,Toronto Blue Jays
George Springer,Toronto Blue Jays
Jeff Hoffman,Toronto Blue Jays
José Berríos,Toronto Blue Jays
José Ureña,Toronto Blue Jays
Kevin Gausman,Toronto Blue Jays
Mason Fluharty,Toronto Blue Jays
Myles Straw,Toronto Blue Jays
Nathan Lukes,Toronto Blue Jays
Tyler Heineman,Toronto Blue Jays
Vladimir Guerrero Jr.,Toronto Blue Jays
Yariel Rodríguez,Toronto Blue Jays
Yimi García,Toronto Blue Jays
Bailey Ober,Minnesota Twins
Brock Stewart,Minnesota Twins
Brooks Lee,Minnesota Twins
Byron Buxton,Minnesota Twins
Carlos Correa,Minnesota Twins
Chris Paddack,Minnesota Twins
Christian Vázquez,Minnesota Twins
Cole Sands,Minnesota Twins
Keirsey Jr.,Minnesota Twins
Danny Coulombe,Minnesota Twins
Griffin Jax,Minnesota Twins
Harrison Bader,Minnesota Twins
Jhoan Duran,Minnesota Twins
Joe Ryan,Minnesota Twins
Jonah Bride,Minnesota Twins
Jorge Alcala,Minnesota Twins
Justin Topa,Minnesota Twins
Kody Clemens,Minnesota Twins
Louis Varland,Minnesota Twins
Pablo López,Minnesota Twins
Royce Lewis,Minnesota Twins
Ryan Jeffers,Minnesota Twins
Woods Richardson,Minnesota Twins
Trevor Larnach,Minnesota Twins
Ty France,Minnesota Twins
Willi Castro,Minnesota Twins
Luke Keaschall,Minnesota Twins
Aaron Nola,Philadelphia Phillies
Alec Bohm,Philadelphia Phillies
Brandon Marsh,Philadelphia Phillies
Bryce Harper,Philadelphia Phillies
Bryson Stott,Philadelphia Phillies
Carlos Hernández,Philadelphia Phillies
Cristopher Sánchez,Philadelphia Phillies
Edmundo Sosa,Philadelphia Phillies
J.T. Realmuto,Philadelphia Phillies
Jesús Luzardo,Philadelphia Phillies
Joe Ross,Philadelphia Phillies
Johan Rojas,Philadelphia Phillies
Jordan Romano,Philadelphia Phillies
José Alvarado,Philadelphia Phillies
Kyle Schwarber,Philadelphia Phillies
Matt Strahm,Philadelphia Phillies
Max Kepler,Philadelphia Phillies
Nick Castellanos,Philadelphia Phillies
Orion Kerkering,Philadelphia Phillies
Rafael Marchán,Philadelphia Phillies
Ranger Suárez,Philadelphia Phillies
Taijuan Walker,Philadelphia Phillies
Tanner Banks,Philadelphia Phillies
Trea Turner,Philadelphia Phillies
Weston Wilson,Philadelphia Phillies
Zack Wheeler,Philadelphia Phillies
AJ Smith-Shawver,Atlanta Braves
Aaron Bummer,Atlanta Braves
Alex Verdugo,Atlanta Braves
Austin Riley,Atlanta Braves
Bryce Elder,Atlanta Braves
Chris Sale,Atlanta Braves
Daysbel Hernández,Atlanta Braves
Drake Baldwin,Atlanta Braves
Dylan Lee,Atlanta Braves
Eddie Rosario,Atlanta Braves
Eli White,Atlanta Braves
Los Santos,Atlanta Braves
Grant Holmes,Atlanta Braves
Marcell Ozuna,Atlanta Braves
Matt Olson,Atlanta Braves
Harris II,Atlanta Braves
Nick Allen,Atlanta Braves
Orlando Arcia,Atlanta Braves
Ozzie Albies,Atlanta Braves
Pierce Johnson,Atlanta Braves
Rafael Montero,Atlanta Braves
Raisel Iglesias,Atlanta Braves
Scott Blewett,Atlanta Braves
Sean Murphy,Atlanta Braves
Spencer Schwellenbach,Atlanta Braves
Stuart Fairchild,Atlanta Braves
Andrew Benintendi,Chicago White Sox
Andrew Vaughn,Chicago White Sox
Brandon Eisert,Chicago White Sox
Brooks Baldwin,Chicago White Sox
Bryse Wilson,Chicago White Sox
Caleb Freeman,Chicago White Sox
Cam Booser,Chicago White Sox
Chase Meidroth,Chicago White Sox
Davis Martin,Chicago White Sox
Edgar Quero,Chicago White Sox
Jacob Amaya,Chicago White Sox
Jared Shuster,Chicago White Sox
Jonathan Cannon,Chicago White Sox
Jordan Leasure,Chicago White Sox
Josh Rojas,Chicago White Sox
Joshua Palacios,Chicago White Sox
Lenyn Sosa,Chicago White Sox
Robert Jr.,Minnesota Twins
Matt Thaiss,Chicago White Sox
A. Taylor,Chicago White Sox
Miguel Vargas,Seattle Mariners
Mike Vasil,Chicago White Sox
Sean Burke,Chicago White Sox
Shane Smith,Chicago White Sox
Steven Wilson,Chicago White Sox
Tyler Gilbert,Chicago White Sox
Agustín Ramírez,Miami Marlins
Anthony Bender,Miami Marlins
Anthony Veneziano,Miami Marlins
Cal Quantrill,Miami Marlins
Calvin Faucher,Miami Marlins
Connor Norby,Miami Marlins
Dane Myers,Miami Marlins
Edward Cabrera,Miami Marlins
Eric Wagaman,Miami Marlins
George Soriano,Miami Marlins
Graham Pauley,Miami Marlins
Javier Sanoja,Miami Marlins
Jesús Sánchez,Miami Marlins
Jesus Tinoco,Miami Marlins
Kyle Stowers,Miami Marlins
Lake Bachar,Miami Marlins
Liam Hicks,Miami Marlins
Matt Mervis,Miami Marlins
Max Meyer,Miami Marlins
Nick Fortes,Miami Marlins
Ronny Henriquez,Miami Marlins
Ronny Simon,Miami Marlins
Sandy Alcantara,Miami Marlins
Tyler Phillips,Miami Marlins
Valente Bellozo,Miami Marlins
Xavier Edwards,Miami Marlins
Aaron Judge,New York Yankees
Anthony Volpe,New York Yankees
Austin Wells,New York Yankees
Ben Rice,New York Yankees
Carlos Carrasco,New York Yankees
Carlos Rodón,New York Yankees
Clarke Schmidt,New York Yankees
Cody Bellinger,New York Yankees
Devin Williams,New York Yankees
Fernando Cruz,New York Yankees
Ian Hamilton,New York Yankees
J.C. Escarra,New York Yankees
Jasson Domínguez,New York Yankees
Jorbit Vivas,New York Yankees
Luke Weaver,New York Yankees
Leiter Jr.,New York Yankees
Max Fried,New York Yankees
Oswald Peraza,New York Yankees
Oswaldo Cabrera,New York Yankees
Pablo Reyes,New York Yankees
Paul Goldschmidt,New York Yankees
Ryan Yarbrough,New York Yankees
Tim Hill,New York Yankees
Trent Grisham,New York Yankees
Tyler Matzek,New York Yankees
Will Warren,New York Yankees
Abner Uribe,Milwaukee Brewers
Brice Turang,Milwaukee Brewers
Caleb Durbin,Milwaukee Brewers
Chad Patrick,Milwaukee Brewers
Christian Yelich,Milwaukee Brewers
Daz Cameron,Milwaukee Brewers
Elvin Rodriguez,Milwaukee Brewers
Eric Haase,Milwaukee Brewers
Freddy Peralta,Milwaukee Brewers
Grant Anderson,Milwaukee Brewers
Isaac Collins,Milwaukee Brewers
Jackson Chourio,Milwaukee Brewers
Jake Bauers,Milwaukee Brewers
Jared Koenig,Milwaukee Brewers
Joel Payamps,Milwaukee Brewers
Joey Ortiz,Milwaukee Brewers
Jose Quintana,Milwaukee Brewers
Nick Mears,Milwaukee Brewers
Quinn Priester,Milwaukee Brewers
Rhys Hoskins,Milwaukee Brewers
Sal Frelick,Milwaukee Brewers
Tobias Myers,Milwaukee Brewers
Trevor Megill,Milwaukee Brewers
Tyler Alexander,Milwaukee Brewers
Vinny Capra,Milwaukee Brewers
William Contreras,Milwaukee Brewers
Brock Burke,Los Angeles Angels
Gustavo Campero,Los Angeles Angels
Jack Kochanowicz,Los Angeles Angels
Jo Adell,Los Angeles Angels
Jorge Soler,Los Angeles Angels
Jose Fermin,Los Angeles Angels
José Soriano,Los Angeles Angels
Kenley Jansen,Los Angeles Angels
Kevin Newman,Los Angeles Angels
Kyle Hendricks,Los Angeles Angels
Kyren Paris,Los Angeles Angels
Logan O'Hoppe,Los Angeles Angels
Luis Rengifo,Los Angeles Angels
Michael Darrell-Hicks,Los Angeles Angels
Niko Kavadas,Los Angeles Angels
Nolan Schanuel,Los Angeles Angels
Reid Detmers,Los Angeles Angels
Ryan Johnson,Los Angeles Angels
Ryan Zeferjahn,Los Angeles Angels
Taylor Ward,Los Angeles Angels
Tim Anderson,Los Angeles Angels
Touki Toussaint,Los Angeles Angels
Travis d'Arnaud,Los Angeles Angels
Tyler Anderson,Los Angeles Angels
Yusei Kikuchi,Los Angeles Angels
Zach Neto,Los Angeles Angels
Alek Thomas,Arizona Diamondbacks
Brandon Pfaadt,Arizona Diamondbacks
Corbin Burnes,Arizona Diamondbacks
Corbin Carroll,Arizona Diamondbacks
Eduardo Rodriguez,Arizona Diamondbacks
Eugenio Suárez,Arizona Diamondbacks
Gabriel Moreno,Arizona Diamondbacks
Garrett Hampson,Arizona Diamondbacks
Geraldo Perdomo,Arizona Diamondbacks
Jalen Beeks,Arizona Diamondbacks
José Castillo,Arizona Diamondbacks
Jose Herrera,Arizona Diamondbacks
Josh Naylor,Arizona Diamondbacks
Juan Morillo,Arizona Diamondbacks
Ketel Marte,Arizona Diamondbacks
Kevin Ginkel,Arizona Diamondbacks
Gurriel Jr.,Arizona Diamondbacks
Merrill Kelly,Arizona Diamondbacks
Pavin Smith,Arizona Diamondbacks
Randal Grichuk,Arizona Diamondbacks
Ryan Thompson,Arizona Diamondbacks
Ryne Nelson,Arizona Diamondbacks
Shelby Miller,Arizona Diamondbacks
Tim Tawa,Arizona Diamondbacks
Tommy Henry,Arizona Diamondbacks
Zac Gallen,Arizona Diamondbacks
Adley Rutschman,Baltimore Orioles
Bryan Baker,Baltimore Orioles
Cade Povich,Baltimore Orioles
Cedric Mullins,Baltimore Orioles
Charlie Morton,Baltimore Orioles
Cionel Pérez,Baltimore Orioles
Coby Mayo,Baltimore Orioles
Dean Kremer,Baltimore Orioles
Dylan Carlson,Baltimore Orioles
Emmanuel Rivera,Baltimore Orioles
Félix Bautista,Baltimore Orioles
Gregory Soto,Baltimore Orioles
Gunnar Henderson,Baltimore Orioles
Heston Kjerstad,Baltimore Orioles
Jackson Holliday,Baltimore Orioles
Jorge Mateo,Baltimore Orioles
Keegan Akin,Baltimore Orioles
Kyle Gibson,Baltimore Orioles
Matt Bowman,Baltimore Orioles
Maverick Handley,Baltimore Orioles
Ramón Laureano,Baltimore Orioles
Ryan Mountcastle,Baltimore Orioles
Ryan O'Hearn,Baltimore Orioles
Seranthony Domínguez,Baltimore Orioles
Tomoyuki Sugano,Baltimore Orioles
Yennier Cano,Baltimore Orioles
Abraham Toro,Boston Red Sox
Alex Bregman,Boston Red Sox
Aroldis Chapman,Boston Red Sox
Brayan Bello,Boston Red Sox
Brennan Bernardino,Boston Red Sox
Carlos Narváez,Boston Red Sox
Ceddanne Rafaela,Boston Red Sox
Connor Wong,Boston Red Sox
David Hamilton,Boston Red Sox
Garrett Crochet,Boston Red Sox
Garrett Whitlock,Boston Red Sox
Greg Weissert,Boston Red Sox
Hunter Dobbins,Boston Red Sox
Jarren Duran,Boston Red Sox
Justin Slaten,Boston Red Sox
Justin Wilson,Boston Red Sox
Kristian Campbell,Boston Red Sox
Liam Hendriks,Boston Red Sox
Lucas Giolito,Boston Red Sox
Rafael Devers,Boston Red Sox
Rob Refsnyder,Boston Red Sox
Romy Gonzalez,Boston Red Sox
Sean Newcomb,Boston Red Sox
Tanner Houck,Boston Red Sox
Trevor Story,Boston Red Sox
Wilyer Abreu,Boston Red Sox
Ben Brown,Chicago Cubs
Brad Keller,Chicago Cubs
Caleb Thielbar,Chicago Cubs
Carson Kelly,Chicago Cubs
Chris Flexen,Chicago Cubs
Colin Rea,Chicago Cubs
Daniel Palencia,Chicago Cubs
Dansby Swanson,Chicago Cubs
Drew Pomeranz,Chicago Cubs
Ian Happ,Chicago Cubs
Jameson Taillon,Chicago Cubs
Jon Berti,Chicago Cubs
Julian Merryweather,Chicago Cubs
Justin Turner,Chicago Cubs
Kyle Tucker,Chicago Cubs
Matthew Boyd,Chicago Cubs
Michael Busch,Chicago Cubs
Miguel Amaya,Chicago Cubs
Nicky Lopez,Chicago Cubs
Nico Hoerner,Chicago Cubs
Pete Crow-Armstrong,Chicago Cubs
Porter Hodge,Chicago Cubs
Ryan Pressly,Chicago Cubs
Seiya Suzuki,Chicago Cubs
Shota Imanaga,Chicago Cubs
Vidal Bruján,Chicago Cubs
Andrew Abbott,Cincinnati Reds
Austin Wynns,Cincinnati Reds
Blake Dunn,Cincinnati Reds
Brady Singer,Cincinnati Reds
Brent Suter,Cincinnati Reds
La Cruz,Atlanta Braves
Emilio Pagán,Cincinnati Reds
Gavin Lux,Cincinnati Reds
Graham Ashcraft,Cincinnati Reds
Hunter Greene,Cincinnati Reds
Jake Fraley,Cincinnati Reds
Jose Trevino,Cincinnati Reds
Luis Mey,Cincinnati Reds
Matt McLain,Cincinnati Reds
Nick Lodolo,Cincinnati Reds
Nick Martinez,Cincinnati Reds
Noelvi Marte,Cincinnati Reds
Santiago Espinal,Cincinnati Reds
Scott Barlow,Cincinnati Reds
Spencer Steer,Cincinnati Reds
TJ Friedl,Cincinnati Reds
Taylor Rogers,Cincinnati Reds
Tony Santillan,Cincinnati Reds
Tyler Callihan,Cincinnati Reds
Tyler Stephenson,Cincinnati Reds
Yosver Zulueta,Cincinnati Reds
Angel Martínez,Cleveland Guardians
Austin Hedges,Cleveland Guardians
Ben Lively,Cleveland Guardians
Bo Naylor,Cleveland Guardians
Brayan Rocchio,Cleveland Guardians
Cade Smith,Cleveland Guardians
Carlos Santana,Cleveland Guardians
Daniel Schneemann,Cleveland Guardians
Emmanuel Clase,Cleveland Guardians
Gabriel Arias,Cleveland Guardians
Gavin Williams,Cleveland Guardians
Hunter Gaddis,Cleveland Guardians
Jakob Junis,Cleveland Guardians
Jhonkensy Noel,Cleveland Guardians
Joey Cantillo,Cleveland Guardians
José Ramírez,Cleveland Guardians
Kolby Allard,Cleveland Guardians
Kyle Manzardo,Cleveland Guardians
Logan Allen,Cleveland Guardians
L. Ortiz,Cleveland Guardians
Matt Festa,Cleveland Guardians
Nolan Jones,Cleveland Guardians
Steven Kwan,Cleveland Guardians
Tanner Bibee,Cleveland Guardians
Tim Herrin,Cleveland Guardians
Will Wilson,Boston Red Sox
Adael Amador,Colorado Rockies
Alan Trejo,Colorado Rockies
Angel Chivilli,Colorado Rockies
Antonio Senzatela,Colorado Rockies
Bradley Blalock,Colorado Rockies
Brenton Doyle,Colorado Rockies
Chase Dollander,Colorado Rockies
Germán Márquez,Colorado Rockies
Hunter Goodman,Colorado Rockies
Jacob Stallings,Colorado Rockies
Jake Bird,Colorado Rockies
Jimmy Herget,Colorado Rockies
Jordan Beck,Colorado Rockies
Juan Mejia,Colorado Rockies
Kyle Farmer,Colorado Rockies
Kyle Freeland,Colorado Rockies
Michael Toglia,Colorado Rockies
Mickey Moniak,Colorado Rockies
Nick Martini,Colorado Rockies
Owen Miller,Colorado Rockies
Ryan McMahon,Colorado Rockies
Scott Alexander,Colorado Rockies
Sean Bouchard,Colorado Rockies
Seth Halvorsen,Colorado Rockies
Tyler Kinley,Colorado Rockies
Zach Agnos,Colorado Rockies
Andy Ibáñez,Detroit Tigers
Beau Brieske,Detroit Tigers
Brant Hurter,Detroit Tigers
Brenan Hanifee,Detroit Tigers
Casey Mize,Detroit Tigers
Chase Lee,Detroit Tigers
Colt Keith,Detroit Tigers
Dillon Dingler,Detroit Tigers
Gleyber Torres,Detroit Tigers
Jace Jung,Detroit Tigers
Jack Flaherty,Detroit Tigers
Jackson Jobe,Detroit Tigers
Javier Báez,Detroit Tigers
Justyn-Henry Malloy,Detroit Tigers
Kerry Carpenter,Detroit Tigers
Reese Olson,Detroit Tigers
Riley Greene,Detroit Tigers
Sean Guenther,Detroit Tigers
Spencer Torkelson,Detroit Tigers
Tarik Skubal,Detroit Tigers
Tomás Nido,Detroit Tigers
Tommy Kahnle,Detroit Tigers
Trey Sweeney,Detroit Tigers
Tyler Holton,Detroit Tigers
Will Vest,Detroit Tigers
Zach McKinstry,Detroit Tigers
Bennett Sousa,Houston Astros
Brendan Rodgers,Houston Astros
Bryan Abreu,Houston Astros
Bryan King,Houston Astros
Cam Smith,Houston Astros
Chas McCormick,Houston Astros
Christian Walker,Houston Astros
Framber Valdez,Houston Astros
Hayden Wesneski,Houston Astros
Hunter Brown,Houston Astros
Isaac Paredes,Houston Astros
Jake Meyers,Houston Astros
Jeremy Peña,Houston Astros
Jose Altuve,Houston Astros
Josh Hader,Houston Astros
Kaleb Ort,Houston Astros
McCullers Jr.,Houston Astros
Mauricio Dubón,Houston Astros
Ronel Blanco,Houston Astros
Ryan Gusto,Houston Astros
Steven Okert,Houston Astros
Tayler Scott,Houston Astros
Victor Caratini,Houston Astros
Yainer Diaz,Houston Astros
Yordan Alvarez,Houston Astros
Zach Dezenzo,Houston Astros
Angel Zerpa,Kansas City Royals
Bobby Witt Jr.,Kansas City Royals
Carlos Estévez,Kansas City Royals
Cavan Biggio,Kansas City Royals
Chris Stratton,Kansas City Royals
Cole Ragans,Kansas City Royals
Lynch IV,Kansas City Royals
Drew Waters,Kansas City Royals
Freddy Fermin,Kansas City Royals
Hunter Renfroe,Kansas City Royals
John Schreiber,Kansas City Royals
Jonathan India,Kansas City Royals
Kris Bubic,Kansas City Royals
Kyle Isbel,Kansas City Royals
Lucas Erceg,Kansas City Royals
Luke Maile,Kansas City Royals
Maikel Garcia,Kansas City Royals
Mark Canha,Kansas City Royals
Michael Lorenzen,Kansas City Royals
Michael Massey,Kansas City Royals
Michael Wacha,Kansas City Royals
Salvador Perez,Kansas City Royals
Seth Lugo,Kansas City Royals
Steven Cruz,Kansas City Royals
Taylor Clarke,Kansas City Royals
Vinnie Pasquantino,Kansas City Royals
Alex Vesia,Los Angeles Dodgers
Andy Pages,Los Angeles Dodgers
Anthony Banda,Los Angeles Dodgers
Austin Barnes,Los Angeles Dodgers
Ben Casparius,Los Angeles Dodgers
Chris Taylor,Los Angeles Dodgers
Dustin May,Los Angeles Dodgers
Enrique Hernández,Los Angeles Dodgers
Evan Phillips,Los Angeles Dodgers
Freddie Freeman,Los Angeles Dodgers
Hyeseong Kim,Los Angeles Dodgers
Jack Dreyer,Los Angeles Dodgers
Kirby Yates,Los Angeles Dodgers
Luis García,Washington Nationals
Max Muncy,Athletics
Michael Conforto,Los Angeles Dodgers
Miguel Rojas,Los Angeles Dodgers
Mookie Betts,Los Angeles Dodgers
Roki Sasaki,Los Angeles Dodgers
Shohei Ohtani,Los Angeles Dodgers
Tanner Scott,Pittsburgh Pirates
Teoscar Hernández,Los Angeles Dodgers
Tony Gonsolin,Los Angeles Dodgers
Will Smith,Los Angeles Dodgers
Yoendrys Gómez,Los Angeles Dodgers
Yoshinobu Yamamoto,Los Angeles Dodgers
Alex Call,Washington Nationals
Amed Rosario,Washington Nationals
Andrew Chafin,Washington Nationals
Brad Lord,Washington Nationals
CJ Abrams,Washington Nationals
Cole Henry,Washington Nationals
Dylan Crews,Washington Nationals
Eduardo Salazar,Washington Nationals
Jackson Rutledge,Washington Nationals
Jacob Young,Washington Nationals
Jake Irvin,Washington Nationals
James Wood,Washington Nationals
Jorge López,Washington Nationals
A. Ferrer,Washington Nationals
José Tena,Washington Nationals
Josh Bell,Washington Nationals
Keibert Ruiz,Washington Nationals
Kyle Finnegan,Washington Nationals
Lucas Sims,Washington Nationals
García Jr.,Washington Nationals
MacKenzie Gore,Washington Nationals
Mitchell Parker,Washington Nationals
Nasim Nuñez,Washington Nationals
Nathaniel Lowe,Washington Nationals
Riley Adams,Washington Nationals
Trevor Williams,Washington Nationals
Brandon Nimmo,New York Mets
Clay Holmes,New York Mets
David Peterson,New York Mets
Dedniel Núñez,New York Mets
Edwin Díaz,New York Mets
Francisco Alvarez,New York Mets
Francisco Lindor,New York Mets
Génesis Cabrera,New York Mets
Griffin Canning,New York Mets
Huascar Brazobán,New York Mets
Jeff McNeil,New York Mets
Jesse Winker,New York Mets
José Azocar,New York Mets
José Buttó,New York Mets
Juan Soto,New York Mets
Kodai Senga,New York Mets
Luis Torrens,New York Mets
Luisangel Acuña,New York Mets
Mark Vientos,New York Mets
Max Kranick,New York Mets
Pete Alonso,New York Mets
Reed Garrett,New York Mets
Ryne Stanek,New York Mets
Starling Marte,New York Mets
Tylor Megill,New York Mets
Tyrone Taylor,New York Mets
